time	V(highside)	V(highside)-V(out)	V(lowside)	V(out)
1.379005359862691e-09	1.432623e-08	7.483347e-11	3.458759e-11	1.425140e-08
1.379005487862691e-09	1.439654e-08	5.514167e-11	5.431690e-11	1.434139e-08
1.379005743862691e-09	1.451501e-08	2.201528e-11	8.754954e-11	1.449300e-08
1.379006255862691e-09	1.431683e-08	7.798118e-11	3.183024e-11	1.423885e-08
1.379006383862691e-09	1.426850e-08	9.171686e-11	1.822634e-11	1.417679e-08
1.379006639862691e-09	1.424250e-08	9.900880e-11	1.093222e-11	1.414349e-08
1.379007151862691e-09	1.424524e-08	9.776713e-11	1.181491e-11	1.414748e-08
1.379008175862691e-09	1.431286e-08	7.855316e-11	3.086196e-11	1.423431e-08
1.379010223862691e-09	1.440022e-08	5.392931e-11	5.541700e-11	1.434629e-08
1.379014319862691e-09	1.442260e-08	4.773959e-11	6.167634e-11	1.437486e-08
1.379022511862691e-09	1.441283e-08	5.069811e-11	5.887788e-11	1.436213e-08
1.379038895862691e-09	1.439948e-08	5.467804e-11	5.507258e-11	1.434480e-08
1.379039407862691e-09	1.439563e-08	5.576517e-11	5.399279e-11	1.433987e-08
1.379040431862691e-09	1.439620e-08	5.559908e-11	5.415386e-11	1.434060e-08
1.379042479862691e-09	1.428640e-08	8.628831e-11	2.335662e-11	1.420011e-08
1.379042543862691e-09	1.423185e-08	1.015383e-10	8.056774e-12	1.413032e-08
1.379042671862691e-09	1.415013e-08	1.244382e-10	-1.487462e-11	1.402570e-08
1.379042927862691e-09	1.420269e-08	1.098472e-10	-1.478143e-13	1.409284e-08
1.379043439862691e-09	1.425294e-08	9.566037e-11	1.398659e-11	1.415728e-08
1.379044463862691e-09	1.433678e-08	7.189804e-11	3.758556e-11	1.426488e-08
1.379046511862691e-09	1.441097e-08	5.095746e-11	5.844526e-11	1.436001e-08
1.379047023862691e-09	1.440333e-08	5.311485e-11	5.629823e-11	1.435022e-08
1.379048047862691e-09	1.439572e-08	5.529976e-11	5.415139e-11	1.434042e-08
1.379050095862691e-09	1.441420e-08	5.010037e-11	5.934311e-11	1.436410e-08
1.379054191862691e-09	1.442069e-08	4.837108e-11	6.113827e-11	1.437232e-08
1.379055215862691e-09	1.434196e-08	7.033130e-11	3.906374e-11	1.427163e-08
1.379055471862691e-09	1.430107e-08	8.170353e-11	2.760918e-11	1.421937e-08
