in s,C1 in V
-2.9757248E-03,2.34131E+01
-2.9756784E-03,2.34619E+01
-2.9756320E-03,2.33643E+01
-2.9755856E-03,2.33643E+01
-2.9755392E-03,2.33154E+01
-2.9754928E-03,2.34131E+01
-2.9754464E-03,2.34619E+01
-2.9754000E-03,2.34131E+01
-2.9753536E-03,2.34131E+01
-2.9753072E-03,2.34619E+01
-2.9752608E-03,2.34131E+01
-2.9752144E-03,2.33643E+01
-2.9751680E-03,2.33154E+01
-2.9751216E-03,2.34619E+01
-2.9750752E-03,2.33154E+01
-2.9750288E-03,2.34619E+01
-2.9749824E-03,2.34619E+01
-2.9749360E-03,2.35596E+01
-2.9748896E-03,2.32666E+01
-2.9748432E-03,2.33643E+01
-2.9747968E-03,2.33643E+01
-2.9747504E-03,2.34619E+01
-2.9747040E-03,2.35107E+01
-2.9746576E-03,2.35596E+01
-2.9746112E-03,2.35107E+01
-2.9745648E-03,2.32666E+01
-2.9745184E-03,2.33643E+01
-2.9744720E-03,2.35596E+01
-2.9744256E-03,2.34619E+01
-2.9743792E-03,2.35596E+01
-2.9743328E-03,2.33643E+01
-2.9742864E-03,2.34131E+01
-2.9742400E-03,2.33154E+01
-2.9741936E-03,2.33154E+01
-2.9741472E-03,2.34131E+01
-2.9741008E-03,2.35107E+01
-2.9740544E-03,2.33154E+01
-2.9740080E-03,2.32666E+01
-2.9739616E-03,2.33154E+01
-2.9739152E-03,2.34131E+01
-2.9738688E-03,2.35107E+01
-2.9738224E-03,2.32178E+01
-2.9737760E-03,2.33643E+01
-2.9737296E-03,2.33643E+01
-2.9736832E-03,2.34619E+01
-2.9736368E-03,2.34131E+01
-2.9735904E-03,2.33154E+01
-2.9735440E-03,2.35107E+01
-2.9734976E-03,2.33643E+01
-2.9734512E-03,2.34619E+01
-2.9734048E-03,2.33643E+01
-2.9733584E-03,2.32666E+01
-2.9733120E-03,2.33154E+01
-2.9732656E-03,2.36084E+01
-2.9732192E-03,2.33154E+01
-2.9731728E-03,2.33643E+01
-2.9731264E-03,2.34131E+01
-2.9730800E-03,2.32666E+01
-2.9730336E-03,2.32666E+01
-2.9729872E-03,2.34131E+01
-2.9729408E-03,2.32666E+01
-2.9728944E-03,2.31689E+01
-2.9728480E-03,2.35107E+01
-2.9728016E-03,2.33643E+01
-2.9727552E-03,2.33643E+01
-2.9727088E-03,2.34131E+01
-2.9726624E-03,2.34619E+01
-2.9726160E-03,2.33154E+01
-2.9725696E-03,2.33154E+01
-2.9725232E-03,2.34619E+01
-2.9724768E-03,2.34131E+01
-2.9724304E-03,2.34619E+01
-2.9723840E-03,2.34131E+01
-2.9723376E-03,2.33154E+01
-2.9722912E-03,2.33643E+01
-2.9722448E-03,2.34619E+01
-2.9721984E-03,2.33643E+01
-2.9721520E-03,2.34619E+01
-2.9721056E-03,2.33643E+01
-2.9720592E-03,2.33643E+01
-2.9720128E-03,2.33154E+01
-2.9719664E-03,2.34619E+01
-2.9719200E-03,2.33643E+01
-2.9718736E-03,2.34619E+01
-2.9718272E-03,2.33643E+01
-2.9717808E-03,2.35107E+01
-2.9717344E-03,2.35107E+01
-2.9716880E-03,2.34619E+01
-2.9716416E-03,2.34131E+01
-2.9715952E-03,2.33154E+01
-2.9715488E-03,2.32666E+01
-2.9715024E-03,2.33154E+01
-2.9714560E-03,2.33643E+01
-2.9714096E-03,2.33154E+01
-2.9713632E-03,2.32666E+01
-2.9713168E-03,2.33643E+01
-2.9712704E-03,2.33154E+01
-2.9712240E-03,2.35107E+01
-2.9711776E-03,2.34619E+01
-2.9711312E-03,2.34619E+01
-2.9710848E-03,2.32666E+01
-2.9710384E-03,2.32666E+01
-2.9709920E-03,2.33643E+01
-2.9709456E-03,2.33643E+01
-2.9708992E-03,2.34131E+01
-2.9708528E-03,2.34131E+01
-2.9708064E-03,2.33643E+01
-2.9707600E-03,2.34131E+01
-2.9707136E-03,2.33643E+01
-2.9706672E-03,2.33154E+01
-2.9706208E-03,2.32666E+01
-2.9705744E-03,2.33643E+01
-2.9705280E-03,2.33643E+01
-2.9704816E-03,2.34131E+01
-2.9704352E-03,2.33154E+01
-2.9703888E-03,2.35107E+01
-2.9703424E-03,2.34131E+01
-2.9702960E-03,2.34619E+01
-2.9702496E-03,2.34619E+01
-2.9702032E-03,2.34131E+01
-2.9701568E-03,2.33643E+01
-2.9701104E-03,2.32666E+01
-2.9700640E-03,2.34619E+01
-2.9700176E-03,2.34131E+01
-2.9699712E-03,2.33643E+01
-2.9699248E-03,2.33154E+01
-2.9698784E-03,2.34619E+01
-2.9698320E-03,2.34619E+01
-2.9697856E-03,2.33643E+01
-2.9697392E-03,2.34131E+01
-2.9696928E-03,2.35107E+01
-2.9696464E-03,2.32178E+01
-2.9696000E-03,2.34619E+01
-2.9695536E-03,2.34619E+01
-2.9695072E-03,2.35107E+01
-2.9694608E-03,2.34131E+01
-2.9694144E-03,2.34619E+01
-2.9693680E-03,2.35107E+01
-2.9693216E-03,2.33643E+01
-2.9692752E-03,2.34619E+01
-2.9692288E-03,2.34131E+01
-2.9691824E-03,2.34619E+01
-2.9691360E-03,2.34131E+01
-2.9690896E-03,2.33154E+01
-2.9690432E-03,2.34619E+01
-2.9689968E-03,2.36084E+01
-2.9689504E-03,2.34619E+01
-2.9689040E-03,2.34131E+01
-2.9688576E-03,2.33643E+01
-2.9688112E-03,2.34131E+01
-2.9687648E-03,2.34131E+01
-2.9687184E-03,2.34619E+01
-2.9686720E-03,2.32666E+01
-2.9686256E-03,2.32666E+01
-2.9685792E-03,2.33154E+01
-2.9685328E-03,2.34619E+01
-2.9684864E-03,2.34131E+01
-2.9684400E-03,2.34619E+01
-2.9683936E-03,2.34131E+01
-2.9683472E-03,2.33154E+01
-2.9683008E-03,2.34131E+01
-2.9682544E-03,2.33154E+01
-2.9682080E-03,2.33643E+01
-2.9681616E-03,2.34619E+01
-2.9681152E-03,2.34131E+01
-2.9680688E-03,2.33154E+01
-2.9680224E-03,2.33643E+01
-2.9679760E-03,2.34131E+01
-2.9679296E-03,2.33643E+01
-2.9678832E-03,2.34131E+01
-2.9678368E-03,2.34131E+01
-2.9677904E-03,2.34131E+01
-2.9677440E-03,2.34131E+01
-2.9676976E-03,2.34619E+01
-2.9676512E-03,2.33643E+01
-2.9676048E-03,2.35107E+01
-2.9675584E-03,2.33154E+01
-2.9675120E-03,2.33643E+01
-2.9674656E-03,2.34619E+01
-2.9674192E-03,2.34131E+01
-2.9673728E-03,2.33643E+01
-2.9673264E-03,2.33154E+01
-2.9672800E-03,2.33154E+01
-2.9672336E-03,2.34619E+01
-2.9671872E-03,2.34131E+01
-2.9671408E-03,2.34131E+01
-2.9670944E-03,2.34131E+01
-2.9670480E-03,2.34619E+01
-2.9670016E-03,2.34131E+01
-2.9669552E-03,2.32666E+01
-2.9669088E-03,2.33643E+01
-2.9668624E-03,2.34131E+01
-2.9668160E-03,2.35596E+01
-2.9667696E-03,2.33154E+01
-2.9667232E-03,2.33643E+01
-2.9666768E-03,2.33643E+01
-2.9666304E-03,2.33154E+01
-2.9665840E-03,2.32666E+01
-2.9665376E-03,2.33643E+01
-2.9664912E-03,2.33154E+01
-2.9664448E-03,2.33154E+01
-2.9663984E-03,2.33154E+01
-2.9663520E-03,2.34131E+01
-2.9663056E-03,2.33643E+01
-2.9662592E-03,2.34131E+01
-2.9662128E-03,2.34131E+01
-2.9661664E-03,2.35596E+01
-2.9661200E-03,2.34131E+01
-2.9660736E-03,2.35596E+01
-2.9660272E-03,2.35596E+01
-2.9659808E-03,2.33154E+01
-2.9659344E-03,2.33643E+01
-2.9658880E-03,2.33154E+01
-2.9658416E-03,2.35596E+01
-2.9657952E-03,2.33643E+01
-2.9657488E-03,2.34619E+01
-2.9657024E-03,2.35107E+01
